word sentid sentpos wlen surp entropy entred
If 0 0 2 11.312138557434082 11.105671882629395 0
you 0 1 3 10.473725318908691 10.520831108093262 0.5848407745361328
were 0 2 4 8.065251350402832 9.92576789855957 0.5950632095336914
to 0 3 2 5.76540994644165 10.352253913879395 0
journey 0 4 7 17.60698890686035 10.027017593383789 0.32523632049560547
to 0 5 2 4.806251525878906 8.751572608947754 1.2754449844360352
the 0 6 3 2.5969316959381104 9.614136695861816 0
North 0 7 5 9.371448516845703 11.807740211486816 0
of 0 8 2 5.482285976409912 9.408632278442383 2.3991079330444336
England 0 9 7 9.595649719238281 9.010615348815918 0.39801692962646484
, 0 10 1 3.754838705062866 9.532713890075684 0
you 0 11 3 10.145557403564453 9.243136405944824 0.2895774841308594
would 0 12 5 10.052986145019531 9.85262680053711 0
come 0 13 4 8.927714347839355 8.391934394836426 1.4606924057006836
to 0 14 2 3.3635239601135254 8.80671501159668 0
a 0 15 1 4.65707540512085 9.676531791687012 0
valley 0 16 6 13.67832088470459 11.820454597473145 0
that 0 17 4 7.05942964553833 9.099446296691895 2.72100830078125
is 0 18 2 6.260601997375488 9.679668426513672 0
surrounded 0 19 10 11.638120651245117 9.933032989501953 0
by 0 20 2 3.7886533737182617 6.1961870193481445 3.7368459701538086
<unk> 0 21 5 5.262652397155762 9.028966903686523 0
as 0 22 2 6.8361101150512695 7.386851787567139 1.6421151161193848
high 0 23 4 9.538020133972168 8.3785400390625 0
as 0 24 2 6.719041347503662 7.261287689208984 1.1172523498535156
mountains 0 25 9 15.885068893432617 8.34298324584961 0
. 0 26 1 2.5561928749084473 7.605042457580566 0.737940788269043
It 1 0 2 7.874598503112793 11.105671882629395 0
is 1 1 2 3.3814291954040527 7.172704219818115 3.9329676628112793
in 1 2 2 5.530496120452881 9.776240348815918 0
this 1 3 4 7.610311985015869 9.19107723236084 0.5851631164550781
valley 1 4 6 14.718852996826172 12.499906539916992 0
where 1 5 5 10.281747817993164 8.5466947555542 3.953211784362793
you 1 6 3 10.99497127532959 9.33205795288086 0
would 1 7 5 10.198925018310547 9.671297073364258 0
find 1 8 4 8.15800666809082 8.42937183380127 1.2419252395629883
